Wahlkreis,Wahlbezirk,Name,Straße,PLZ+Ort,barrierefrei
22,6502,Oberstufenzentrum II Wirtschaft und Verwaltung,Zum Jagenstein 26,14478 Potsdam,barrierefrei
22,6401,Schulen u. Wohnheim mit sonderpäd. Förderschwerpunkt,Bisamkiez 107-111,14478 Potsdam,barrierefrei
22,6503,Oberstufenzentrum II Wirtschaft und Verwaltung,Zum Jagenstein 26,14478 Potsdam,barrierefrei
22,7102,Schulzentrum am Stern - Gesamtschule (29),Gagarinstr. 5-7,14480 Potsdam,barrierefrei
22,6504,Oberstufenzentrum II Wirtschaft und Verwaltung,Zum Jagenstein 26,14478 Potsdam,barrierefrei
22,7103,Club 18,Pietschkerstr. 50,14480 Potsdam,barrierefrei
22,6505,Oberschule Theodor Fontane (51),Zum Teufelssee 2-4,14478 Potsdam,
22,6506,Oberschule Theodor Fontane (51),Zum Teufelssee 2-4,14478 Potsdam,
22,7104,Neue Grundschule Potsdam,Flotowstr. 10,14480 Potsdam,barrierefrei
22,6507,Haus der Begegnung Potsdam,Zum Teufelssee 30,14478 Potsdam,barrierefrei
22,7101,Schulzentrum am Stern - Gesamtschule (29),Gagarinstr. 5-7,14480 Potsdam,barrierefrei
22,7105,Deutsches Rotes Kreuz - Behindertenwerkstätten Potsdam,Kohlhasenbrücker Str. 106,14480 Potsdam,barrierefrei
22,7106,Grundschule Am Pappelhain (36/45),Galileistr. 8,14480 Potsdam,barrierefrei
22,7112,Leibniz-Gymnasium (41),Galileistr. 2-4,14480 Potsdam,barrierefrei
22,7113,Deutsches Rotes Kreuz - Behindertenwerkstätten Potsdam,Kohlhasenbrücker Str. 106,14480 Potsdam,barrierefrei
22,7107,Grundschule Am Pappelhain (36/45),Galileistr. 8,14480 Potsdam,barrierefrei
22,7108,Grundschule Am Pappelhain (36/45),Galileistr. 8,14480 Potsdam,barrierefrei
22,7201,Schiller Grundschule im Sternfeld,Sternstr. 68,14480 Potsdam,
22,7109,Leibniz-Gymnasium (41),Galileistr. 2-4,14480 Potsdam,barrierefrei
22,7110,Leibniz-Gymnasium (41),Galileistr. 2-4,14480 Potsdam,barrierefrei
22,7202,KATHARINENHOF WOHNPARK AM STERN,Hans-Albers-Str. 3,14480 Potsdam,barrierefrei
22,7111,Leibniz-Gymnasium (41),Galileistr. 2-4,14480 Potsdam,barrierefrei
22,7203,Schiller Gymnasium,Fritz-Lang-Str. 15,14480 Potsdam,
