Wahlbezirk,Straße,Hausnummern
2104,Carl-Gustav-Jacobi-Str.,alle
2104,Emmy-Noether-Str.,alle
2104,Friedrich-Klausing-Str.,alle
2104,Fritz-von-der-Lancken-Str.,1-13
2104,Graf-von-Schwerin-Str.,alle
2104,Hermann-Weyl-Str.,alle
2104,Konrad-Zuse-Ring,alle
2104,Nedlitzer Str.,"8A-14, 100"
2101,Zum Exerzierhaus,alle
2101,Am Hang,alle
2101,Am Neuen Garten,9-52
2101,Am Pfingstberg,alle
2101,Am Reiherbusch,10-15
2101,Bertinistr.,alle
2101,Bertiniweg,alle
2101,Eichbergstr.,alle
2101,Fritz-von-der-Lancken-Str.,ger. 20-26
2101,GA Am Jungfernsee,alle
2101,GA Berg auf,alle
2101,GA Im Grund,alle
2101,GA Pfingstberg,alle
2101,Glumestr.,alle
2101,Große Weinmeisterstr.,1-48
2101,Höhenstr.,alle
2101,Langhansstr.,alle
2101,Leistikowstr.,alle
2101,Nedlitzer Str.,"1-1D, 1F, 2-8"
2101,Puschkinallee,18-21
2201,Vogelweide,alle
2201,Einsiedelei,alle
2201,GA Katzensäule,alle
2201,Gregor-Mendel-Str.,21-23
2201,Kurt-von-Plettenberg-Str.,alle
2201,Kutscherweg,alle
2201,Pappelallee,33-35G
2201,Parkstr.,alle
2201,Reitbahnstr.,alle
2201,Ruinenbergstr.,alle
2201,Sattlerstr.,alle
2201,Schlegelstr.,14-21
3102,Schmiedegasse,alle
3102,An den Gärten,alle
3102,Brentanoweg,alle
3102,Gregor-Mendel-Str.,"1-16, 24-44"
3102,Jägerallee,20-27
3102,Johann-Goercke-Allee,alle
3102,Moritz-von-Egidy-Str.,alle
3102,Pappelallee,38-50
3102,Schlegelstr.,1-6
3102,Tieckstr.,alle
3102,Ulanenweg,alle
3102,Voltaireweg,alle
3102,Weinbergstr.,1-19
3102,Feuerbachstr.,"1-13, 34-43"
3102,Lennestr.,"59-80, 85"
3102,Sellostr.,1-15A
3102,Zeppelinstr.,7-27
3103,Zimmerstr.,12-12C
3103,Auf dem Kiewitt,1-3
3103,Clara-Zetkin-Str.,"1-13, 21-31"
3103,Feuerbachstr.,"31A, 32, 33"
3103,Geschw.-Scholl-Str.,"1-7A, 88-97"
3103,Meistersingerstr.,"19, 20"
3103,Nansenstr.,1-5B
3103,Sellostr.,20-30
3103,Stiftstr.,alle
2301,Zeppelinstr.,"28-33, ger. 146-162,, ung. 147-163A"
2301,Berliner Str.,43-112
2301,Böcklinstr.,alle
2301,Fritz-Rumpf-Str.,alle
2301,GA Berliner Vorstadt,alle
2301,Leonardo-da-Vinci-Str.,alle
2301,Ludwig-Richter-Str.,1-13A
2301,Menzelstr.,alle
2301,Rembrandtstr.,alle
2301,Schwanenallee,alle
2301,Seestr.,11-21
3104,Tizianstr.,alle
3104,Auf dem Kiewitt,20-44
3104,Breite Str.,ger. 24-28
3105,Zeppelinstr.,164-172
3105,Behlertstr.,"1-4, 45, 45A"
3105,Berliner Str.,"26B-42, 113-136A"
3105,Dürerstr.,alle
3105,Helmholtzstr.,alle
3105,Ludwig-Richter-Str.,15-34
3105,Mangerstr.,alle
3105,Mühlenweg,alle
3105,Otto-Nagel-Str.,alle
3105,Rubensstr.,alle
3105,Schiffbauergasse,alle
3105,Seestr.,"2-10, 22-46"
3105,Am Grünen Gitter,"2,3,6-11"
3105,Am Neuen Palais,alle
3105,An der Orangerie,2-5
3105,Clara-Zetkin-Str.,15-20
3105,Feuerbachstr.,14-31
3105,GA Hans-Sachs-Str.,alle
3105,GA Klein Sanssouci,alle
3105,Geschw.-Scholl-Str.,22-36
3105,Hans-Sachs-Str.,32-55
3105,Im Park Sanssouci,alle
3105,Lennestr.,"ung. 9-25, ung. 47-55,, ger. 10-32A, ger.46-54"
3105,Maulbeerallee,alle
3105,Meistersingerstr.,"1,2"
3105,Nansenstr.,6-10
3105,Sellostr.,15B-19
3101,Zur Historischen Mühle,alle
3101,Allee nach Sanssouci,alle
3101,Am Grünen Gitter,"1,4"
3101,Breite Str.,ung. 23A-27
3101,Lennestr.,"1-8, 81-84"
3101,Luisenplatz,alle
3101,Schopenhauerstr.,23-45
3101,Zeppelinstr.,"1-6, ung. 173-189,, ger. 174-178"
3106,Zimmerstr.,"ung. 1-15, ger. 2-10,, 14, 14A"
3106,Carl-v.-Ossietzky-Str.,1-21A
3106,Geschw.-Scholl-Str.,"8-14, 73-87"
3106,Lennestr.,43-45
3106,Meistersingerstr.,"3-6, 16-18"
3106,Nansenstr.,11-25
3204,Zeppelinstr.,34-45
3204,Auf dem Kiewitt,6-15
3204,Grillparzerstr.,alle
3204,Schillerplatz,alle
3204,Schillerstr.,alle
3204,Wielandstr.,alle
3204,Zeppelinstr.,138-145
3204,Im Bogen,22-28
3204,Knobelsdorffstr.,"ung. 5-47, 6, 8"
3204,Stormstr.,1-52
3108,Zeppelinstr.,66-83
3108,Am Wildpark,alle
3108,An der Pirschheide,"1, 41, ger. 36-42"
3108,Elisenweg,alle
3108,Forststr.,alle
3108,GA Birnbaumenden,alle
3108,GA Geschwister Scholl,alle
3108,GA Krähenbusch,alle
3108,GA Lindengrund,alle
3108,GA Reichsbahn,alle
3108,GA Unverzagt Fliederweg,alle
3108,GA Unverzagt Nord,alle
3108,GA Unverzagt Rosenweg,alle
3108,GA Werderscher Weg,alle
3108,Gontardstr.,alle
3108,Im Bogen,2-18
3108,Im Wildpark,alle
3108,Immenseestr.,alle
3108,Kuhforter Damm,alle
3108,Schlüterstr.,alle
3108,Sonnenlandstr.,alle
3108,Stadtheide,alle
3108,Ungerstr.,alle
3108,Werderscher Damm,alle
3108,Werderscher Weg,"3, 2C"
3108,Zeppelinstr.,84-111
3108,Zum Bahnhof Pirschheide,alle
3108,Carl-v.-Ossietzky-Str.,22-40
3108,Geschw.-Scholl-Str.,15-21
3108,Hans-Sachs-Str.,1-27
3108,Lennestr.,33-42
3201,Meistersingerstr.,7-15A
3201,Feldweg,alle
