Wahlbezirk,Straße,Hausnummern
8603,Leo-Bauer-Str.,alle
8603,Maly-Delschaft-Weg,alle
8603,Margarethe-Gottliebe-Weg,alle
8603,Potsdamer Chaussee,
8603,Groß Glienicke,ung. 1-7A
8603,Rudi-Ball-Str.,alle
8603,Seeburger Chaussee,alle
8603,Triftweg,"7, 9"
8603,Von-Oppen-Weg,alle
8603,Am Anger,alle
8603,An der Sporthalle,alle
8603,Bergstr.,"ung. 5-33,, ger.12-36"
8603,Christophorusweg,alle
8603,Ernst-Thälmann-Str.,alle
8603,Hechtsprung,"ung. 1-13,, ger. 2-18"
8603,Isoldestr.,1-28
8603,Parzivalstr.,ger. 2-8
8603,Ribbeckweg,alle
8603,Richard-Wagner-Str.,"ung. 1-15,, ger. 2-22"
8603,Sacrower Allee,"2A-2B, ger. 6-84"
8603,Seepromenade,1-68
8603,St-Anna-Str.,alle
8604,Tristanstr.,1-28
8604,Am Glienicker Mühlenberg,alle
8604,An der Kirche,alle
8604,Birkenweg,alle
8604,Ebereschenweg Groß Glienicke,alle
8604,Freiheitstr.,ung. 1-33
8604,Grüner Weg Groß Glienicke,1-19D
8604,Güntherweg,alle
8604,Hainbuchenweg,alle
8604,Hermann-Krome-Weg,alle
8604,Potsdamer Chaussee Groß,"ung. 15-31,"
8604,Glienicke,ger. 2-124D
8604,Rotdornweg Groß Glienicke,alle
8604,Sacrower Allee,"4, 5"
8604,Schulzenlandweg,alle
8604,Theodor-Fontane-Str.,alle
8604,Triftweg,"1, 1C, ger. 2-8"
8602,Ulrich-Steinhauer-Str.,alle
8602,Ahornweg,ung. 1-65
8602,Am Fenn Groß Glienicke,alle
8602,Am Schlahn,alle
8602,Am Seeblick,alle
8602,Am Waldfrieden,alle
8602,Bergstr.,"ung. 35-51,, ger. 40-60"
8602,Braumannweg,alle
8602,Bullenwinkel,alle
8602,Dohlenweg,alle
8602,Forstallee,alle
8602,Hechtsprung,"ung. 17-25,, ger. 20-26"
8602,Im Hirschen,alle
8602,Isoldestr.,29-46
8602,Krampnitzer Weg,alle
8602,Landhausstr.,alle
8602,Nibelungenstr.,alle
8602,Parzivalstr.,"ung. 1-25, ger. 14-26"
8602,Pilzweg,alle
8602,Potsdamer Chaussee Groß,51
8602,Glienicke,
8602,Rehsprung,alle
8602,Richard-Wagner-Str.,"ung. 19-41,, ger. 24-36"
8602,Sacrower Allee,"1, 3, ung. 11-121,, ger. 88-120"
8602,Seepromenade,70-99
8602,Tristanstr.,29-58
8602,Waldweg,alle
8602,Wendensteig,alle
