Esplanade 3	
14469 Potsdam	barrierefrei
Am Jungfernsee	alle
Am Reiherbusch	1-9
Bruno-Taut-Str.	alle
Carl-Adam-Petri-Str.	alle
Carl-Gustav-Jacobi-Str.	alle
Emmy-Noether-Str.	alle
Friedrich-Klausing-Str.	alle
Fritz-von-der-Lancken-Str.	1-13
Graf-von-Schwerin-Str.	alle
Hermann-Weyl-Str.	alle
Konrad-Zuse-Ring	alle
Nedlitzer Str.	8A-14, 100
Zum Exerzierhaus	alle
Wahlbezirk 2101	WK 21
Evangelische Grundschule	
Große Weinmeisterstr. 185	
14467 Potsdam	barrierefrei
Am Hang	alle
Am Neuen Garten	9-52
Am Pfingstberg	alle
Am Reiherbusch	10-15
Bertinistr.	alle
Bertiniweg	alle
Eichbergstr.	alle
Fritz-von-der-Lancken-Str.	ger. 20-26
GA Am Jungfernsee	alle
GA Berg auf	alle
GA Im Grund	alle
GA Pfingstberg	alle
Glumestr.	alle
Große Weinmeisterstr.	1-48
Höhenstr.	alle
Langhansstr.	alle
Leistikowstr.	alle
Nedlitzer Str.	1-1D, 1F, 2-8
Puschkinallee	18-21
Vogelweide	alle
Wahlbezirk 2201	WK 21
Oberstufenzentrum I Technik	
Jägerallee 23a	
14469 Potsdam	barrierefrei
Einsiedelei	alle
GA Katzensäule	alle
Gregor-Mendel-Str.	21-23
Kurt-von-Plettenberg-Str.	alle
Kutscherweg	alle
Pappelallee	33-35G
Parkstr.	alle
Reitbahnstr.	alle
Ruinenbergstr.	alle
Sattlerstr.	alle
Schlegelstr.	14-21
Schmiedegasse	alle
Wahlbezirk 2202	WK 21
Oberstufenzentrum I Technik	
Jägerallee 23a	
14469 Potsdam	barrierefrei
Wahlbezirk 3102	WK 21
Käthe-Kollwitz-Oberschule (13)	
Clara-Zetkin-Str. 11	
14471 Potsdam	
An den Gärten	alle
Brentanoweg	alle
Gregor-Mendel-Str.	1-16, 24-44
Jägerallee	20-27
Johann-Goercke-Allee	alle
Moritz-von-Egidy-Str.	alle
Pappelallee	38-50
Schlegelstr.	1-6
Tieckstr.	alle
Ulanenweg	alle
Voltaireweg	alle
Weinbergstr.	1-19
Feuerbachstr.	1-13, 34-43
Lennestr.	59-80, 85
Sellostr.	1-15A
Zeppelinstr.	7-27
Zimmerstr.	12-12C
""	
Wahlbezirk 3103	WK 21
Käthe-Kollwitz-Oberschule (13)	
Clara-Zetkin-Str. 11	
14471 Potsdam	
Auf dem Kiewitt	1-3
Clara-Zetkin-Str.	1-13, 21-31
Feuerbachstr.	31A, 32, 33
Geschw.-Scholl-Str.	1-7A, 88-97
Meistersingerstr.	19, 20
Nansenstr.	1-5B
Sellostr.	20-30
Stiftstr.	alle
Zeppelinstr.	28-33, ger. 146-162,
""	ung. 147-163A
Wahlbezirk 2301	WK 2
Johanna-Just-Oberstufenzentrum (III)	
Berliner Str.114	
14467 Potsdam	barrierefrei
Berliner Str.	43-112
Böcklinstr.	alle
Fritz-Rumpf-Str.	alle
GA Berliner Vorstadt	alle
Leonardo-da-Vinci-Str.	alle
Ludwig-Richter-Str.	1-13A
Menzelstr.	alle
Rembrandtstr.	alle
Schwanenallee	alle
Seestr.	11-21
Tizianstr.	alle
Wahlbezirk 3104	WK 21
"Begegnungsstätte VS ""Auf dem Kiewitt"""	
Zeppelinstr. 163a	
14471 Potsdam	barrierefrei
Auf dem Kiewitt	20-44
Breite Str.	ger. 24-28
Zeppelinstr.	164-172
Wahlbezirk 2302	WK 2
Johanna-Just-Oberstufenzentrum (III)	
Berliner Str.114	
14467 Potsdam	barrierefrei
Wahlbezirk 3105	WK 21
"Kindertagesstätte ""Baumschule"""	
Geschw.-Scholl-Str. 33b	
14471 Potsdam	barrierefrei
Behlertstr.	1-4, 45, 45A
Berliner Str.	26B-42, 113-136A
Dürerstr.	alle
Helmholtzstr.	alle
Ludwig-Richter-Str.	15-34
Mangerstr.	alle
Mühlenweg	alle
Otto-Nagel-Str.	alle
Rubensstr.	alle
Schiffbauergasse	alle
Seestr.	2-10, 22-46
Am Grünen Gitter	2,3,6-11
Am Neuen Palais	alle
An der Orangerie	2-5
Clara-Zetkin-Str.	15-20
Feuerbachstr.	14-31
GA Hans-Sachs-Str.	alle
GA Klein Sanssouci	alle
Geschw.-Scholl-Str.	22-36
Hans-Sachs-Str.	32-55
Im Park Sanssouci	alle
Lennestr.	ung. 9-25, ung. 47-55,
""	ger. 10-32A, ger.46-54
Maulbeerallee	alle
Meistersingerstr.	1,2
Nansenstr.	6-10
Sellostr.	15B-19
Zur Historischen Mühle	alle
Wahlbezirk 3101	WK 21
Voltaire-Gesamtschule (9)	
Lindenstr. 32	
14467 Potsdam	
Allee nach Sanssouci	alle
Am Grünen Gitter	1,4
Breite Str.	ung. 23A-27
Lennestr.	1-8, 81-84
Luisenplatz	alle
Schopenhauerstr.	23-45
Zeppelinstr.	1-6, ung. 173-189,
""	ger. 174-178
Zimmerstr.	ung. 1-15, ger. 2-10,
""	14, 14A
Wahlbezirk 3106	WK 21
Gerhart-Hauptmann-Grundschule (12)	
Carl-v.-Ossietzky-Str. 37/38	
14471 Potsdam	
Carl-v.-Ossietzky-Str.	1-21A
Geschw.-Scholl-Str.	8-14, 73-87
Lennestr.	43-45
Meistersingerstr.	3-6, 16-18
Nansenstr.	11-25
Zeppelinstr.	34-45
Wahlbezirk 3107	WK 21
AWO Schillertreff	
Schillerplatz 20	
14471 Potsdam	barrierefrei
Wahlbezirk 3204	WK 21
Gymnasium Potsdam West (5)	
Haeckelstr. 72	
14471 Potsdam	barrierefrei
Auf dem Kiewitt	6-15
Grillparzerstr.	alle
Schillerplatz	alle
Schillerstr.	alle
Wielandstr.	alle
Zeppelinstr.	138-145
Im Bogen	22-28
Knobelsdorffstr.	ung. 5-47, 6, 8
Stormstr.	1-52
Zeppelinstr.	66-83
Wahlbezirk 3205	WK 21
Montessori-Oberschule (22)	
Schlüterstr. 2-4	
14471 Potsdam	barrierefrei
Wahlbezirk 3108	WK 21
Gerhart-Hauptmann-Grundschule (12)	
Carl-v.-Ossietzky-Str. 37/38	
14471 Potsdam	
Am Wildpark	alle
An der Pirschheide	1, 41, ger. 36-42
Elisenweg	alle
Forststr.	alle
GA Birnbaumenden	alle
GA Geschwister Scholl	alle
GA Krähenbusch	alle
GA Lindengrund	alle
GA Reichsbahn	alle
GA Unverzagt Fliederweg	alle
GA Unverzagt Nord	alle
GA Unverzagt Rosenweg	alle
GA Werderscher Weg	alle
Gontardstr.	alle
Im Bogen	2-18
Im Wildpark	alle
Immenseestr.	alle
Kuhforter Damm	alle
Schlüterstr.	alle
Sonnenlandstr.	alle
Stadtheide	alle
Ungerstr.	alle
Werderscher Damm	alle
Werderscher Weg	3, 2C
Zeppelinstr.	84-111
Zum Bahnhof Pirschheide	alle
Carl-v.-Ossietzky-Str.	22-40
Geschw.-Scholl-Str.	15-21
Hans-Sachs-Str.	1-27
Lennestr.	33-42
Meistersingerstr.	7-15A
Wahlbezirk 3201	WK 21
Zeppelin-Grundschule (23)	
Haeckelstr. 74	
14471 Potsdam	barrierefrei
Feldweg	alle
Fichtestr.	alle
GA Alte Mühle	alle
Geschw.-Scholl-Str.	37-72F
Kantstr.	1-9, 20-33
Kastanienallee	1-5, 28-40
Maybachstr.	6-10
Mittelweg	alle
Werderscher Weg	1-1B, 2, 2A
Zeppelinstr.	46-56
""	
Wahlbezirk 3202	WK 21
Zeppelin-Grundschule (23)	
Haeckelstr. 74	
14471 Potsdam	barrierefrei
Wahlbezirk 4101	WK 21
Einstein-Gymnasium (54)	
Hegelallee 30	
14467 Potsdam	barrierefrei
Haeckelstr.	ung. 31-59, ger. 30-74
Im Bogen	19, 20, 21
Kantstr.	10-15D
Kastanienallee	6-11
Knobelsdorffstr.	10,12
Maybachstr.	1A-5
Roseggerstr.	ung. 1-29
Stormstr.	53
Zeppelinstr.	68H-M
Gutenbergstr.	103-115
Hegelallee	11-43
Hermann-Elflein-Str.	1-7, 33-38
Jägerallee	28-40B
Lindenstr.	1-9
Mauerstr.	alle
Schopenhauerstr.	19-22
Weinbergstr.	20-43
Wahlbezirk 3203	WK 21
Gymnasium Potsdam West (5)	
Haeckelstr. 72	
14471 Potsdam	barrierefrei
""	
Wahlbezirk 4102	WK 21
Hermann-von-Helmholtz-Gymnasium (4)	
Kurfürstenstr.	
14467 Potsdam	barrierefrei
Am Luftschiffhafen	alle
An der Pirschheide	11,13, ger. 20-30
Haeckelstr.	1-13
Havelwelle	alle
Kantstr.	16A-19
Kastanienallee	12-27
Knobelsdorffstr.	1-3
Mertz-von-Quirnheim-Str.	alle
Olympischer Weg	alle
Roseggerstr.	ger. 2-24
Zeppelinstr.	57-62, 110-136
Am Palais Lichtenau	alle
Behlertstr.	13-32
Benkertstr.	alle
Friedrich-Ebert-Str.	20-48
Gutenbergstr.	68-86
Hans-Thoma-Str.	9, 10
Hebbelstr.	3-12B, 33A-56
Hebbelstr.	33 A
Kurfürstenstr.	1-31, 36-54
Leiblstr.	14-26
Mittelstr.	alle
Wahlbezirk 4103	WK 21
Hermann-von-Helmholtz-Gymnasium (4)	
Kurfürstenstr. 53	
14467 Potsdam	barrierefrei
Hoffbauerstr.	alle
Humboldtstr.	alle
Joliot-Curie-Str.	alle
Lange Brücke	6
Neue Plantage	alle
Obere Planitz	alle
Otto-Braun-Platz	alle
Schloßstr.	alle
Schwertfegerstr.	alle
Siefertstr.	alle
Untere Planitz	alle
Wall am Kiez	alle
Werner-Seelenbinder-Str.	alle
Yorckstr.	17-27
Am Kanal	1-6a
Behlertstr.	33-44
Berliner Str.	ung. 21-25, ung. 141-155,
""	ger. 10-26A, ger. 140-152
Charlottenstr.	70, 72, 79
Gutenbergstr.	34-67
Hans-Thoma-Str.	ung. 1-7, 11, 13, ger. 2-6A,
""	12,14
Hebbelstr.	1-1D, 2
Holzmarktstr.	alle
Kurfürstenstr.	32-35
